INFO:root:['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '#', '_', '_', '_', '#', '_', '_', '_', '_', '_', '_', '#']
INFO:root:['#', '#', '#', '#', '_', '_', '_', '_', '#', '_', '_', '_', '#', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#', '#', '#', '#', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '_', '#']
INFO:root:['#', '#', '#', '#', '#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '#', '_', '_', '_', '#', '_', '_', '_', '_', '#', '#', '#', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '_', '#', '_', '_', '_', '#', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '_', '#']
INFO:root:['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']
INFO:root:
INFO:root:['#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '#', '_', '_', '_', '#', 'E', 'X', 'H', 'O', 'R', 'T', '#']
INFO:root:['#', '#', '#', '#', '_', '_', '_', '_', '#', '_', '_', '_', '#', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#', '#', '#', '#', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '#', '_', '_', '_', '_', '_', '#', '_', '_', '_', '_', '_', '#']
INFO:root:['#', '#', '#', '#', '#', '_', '_', '_', '_', '#', '_', '_', '_', '_', '_', '_', '#']
INFO:root:['#', '_', '_', '_', '#', '_', '_', '_', '#', '_', '_', '_', '_', '#', '#', '#', '#']
INFO:root:['#', '_', '_', '_', '_', '_', '_', '#', '_', '_', '_', '#', '_', '_', '_', '_', '#']
